obs_radius,episode,coverage_time,total_reward,final_coverage
,1,2000,111,0.0452
,2,2000,252,0.1016
,3,2000,170,0.0688
,4,2000,169,0.0684
,5,2000,155,0.0628
,6,2000,179,0.0724
,7,2000,217,0.0876
,8,2000,157,0.0636
,9,2000,172,0.0696
,10,2000,237,0.0956
,11,2000,160,0.0648
,12,2000,184,0.0744
,13,2000,213,0.086
,14,2000,170,0.0688
,15,2000,204,0.0824
,16,2000,233,0.094
,17,2000,108,0.044
,18,2000,171,0.0692
,19,2000,184,0.0744
,20,2000,181,0.0732
,21,2000,243,0.098
,22,2000,204,0.0824
,23,2000,177,0.0716
,24,2000,189,0.0764
,25,2000,199,0.0804
,26,2000,168,0.068
,27,2000,168,0.068
,28,2000,129,0.0524
,29,2000,154,0.0624
,30,2000,137,0.0556
,31,2000,170,0.0688
,32,2000,168,0.068
,33,2000,180,0.0728
,34,2000,191,0.0772
,35,2000,221,0.0892
,36,2000,196,0.0792
,37,2000,216,0.0872
,38,2000,194,0.0784
,39,2000,177,0.0716
,40,2000,191,0.0772
,41,2000,181,0.0732
,42,2000,227,0.0916
,43,2000,212,0.0856
,44,2000,243,0.098
,45,2000,242,0.0976
,46,2000,217,0.0876
,47,2000,228,0.092
,48,2000,207,0.0836
,49,2000,233,0.094
,50,2000,220,0.0888
,51,2000,244,0.0984
,52,2000,217,0.0876
,53,2000,263,0.106
,54,2000,265,0.1068
,55,2000,260,0.1048
,56,2000,222,0.0896
,57,2000,213,0.086
,58,2000,207,0.0836
,59,2000,188,0.076
,60,2000,219,0.0884
,61,2000,255,0.1028
,62,2000,278,0.112
,63,2000,277,0.1116
,64,2000,212,0.0856
,65,2000,235,0.0948
,66,2000,256,0.1032
,67,2000,263,0.106
,68,2000,207,0.0836
,69,2000,256,0.1032
,70,2000,179,0.0724
,71,2000,235,0.0948
,72,2000,189,0.0764
,73,2000,303,0.122
,74,2000,277,0.1116
,75,2000,234,0.0944
,76,2000,172,0.0696
,77,2000,214,0.0864
,78,2000,162,0.0656
,79,2000,241,0.0972
,80,2000,262,0.1056
,81,2000,214,0.0864
,82,2000,246,0.0992
,83,2000,207,0.0836
,84,2000,312,0.1256
,85,2000,287,0.1156
,86,2000,228,0.092
,87,2000,257,0.1036
,88,2000,298,0.12
,89,2000,289,0.1164
,90,2000,293,0.118
,91,2000,253,0.102
,92,2000,188,0.076
,93,2000,265,0.1068
,94,2000,218,0.088
,95,2000,171,0.0692
,96,2000,221,0.0892
,97,2000,205,0.0828
,98,2000,258,0.104
,99,2000,248,0.1
,100,2000,239,0.0964
,101,2000,208,0.084
,102,2000,262,0.1056
,103,2000,274,0.1104
,104,2000,208,0.084
,105,2000,217,0.0876
,106,2000,206,0.0832
,107,2000,255,0.1028
,108,2000,219,0.0884
,109,2000,330,0.1328
,110,2000,288,0.116
,111,2000,258,0.104
,112,2000,260,0.1048
,113,2000,248,0.1
,114,2000,261,0.1052
,115,2000,253,0.102
,116,2000,260,0.1048
,117,2000,294,0.1184
,118,2000,217,0.0876
,119,2000,241,0.0972
,120,2000,231,0.0932
,121,2000,262,0.1056
,122,2000,239,0.0964
,123,2000,237,0.0956
,124,2000,239,0.0964
,125,2000,266,0.1072
,126,2000,233,0.094
,127,2000,253,0.102
,128,2000,202,0.0816
,129,2000,258,0.104
,130,2000,263,0.106
,131,2000,219,0.0884
,132,2000,271,0.1092
,133,2000,268,0.108
,134,2000,261,0.1052
,135,2000,259,0.1044
,136,2000,290,0.1168
,137,2000,275,0.1108
,138,2000,355,0.1428
,139,2000,271,0.1092
,140,2000,257,0.1036
,141,2000,270,0.1088
,142,2000,257,0.1036
,143,2000,297,0.1196
,144,2000,204,0.0824
