obs_radius,episode,coverage_time,total_reward,final_coverage
1,1,2000,236,0.0952
1,2,2000,147,0.0596
1,3,2000,187,0.0756
1,4,2000,207,0.0836
1,5,2000,224,0.0904
1,6,2000,227,0.0916
1,7,2000,268,0.108
1,8,2000,261,0.1052
1,9,2000,285,0.1148
1,10,2000,148,0.06
1,11,2000,231,0.0932
1,12,2000,204,0.0824
1,13,2000,212,0.0856
1,14,2000,170,0.0688
1,15,2000,200,0.0808
1,16,2000,212,0.0856
1,17,2000,236,0.0952
1,18,2000,225,0.0908
1,19,2000,245,0.0988
1,20,2000,227,0.0916
1,21,2000,152,0.0616
1,22,2000,269,0.1084
1,23,2000,243,0.098
1,24,2000,227,0.0916
1,25,2000,213,0.086
1,26,2000,299,0.1204
1,27,2000,213,0.086
1,28,2000,203,0.082
1,29,2000,279,0.1124
1,30,2000,190,0.0768
1,31,2000,264,0.1064
1,32,2000,242,0.0976
1,33,2000,215,0.0868
1,34,2000,249,0.1004
1,35,2000,259,0.1044
1,36,2000,217,0.0876
1,37,2000,225,0.0908
1,38,2000,204,0.0824
1,39,2000,260,0.1048
1,40,2000,226,0.0912
1,41,2000,297,0.1196
1,42,2000,215,0.0868
1,43,2000,215,0.0868
1,44,2000,262,0.1056
1,45,2000,273,0.11
1,46,2000,242,0.0976
1,47,2000,258,0.104
1,48,2000,218,0.088
1,49,2000,192,0.0776
1,50,2000,179,0.0724
1,51,2000,245,0.0988
1,52,2000,267,0.1076
1,53,2000,185,0.0748
1,54,2000,239,0.0964
1,55,2000,246,0.0992
1,56,2000,190,0.0768
1,57,2000,201,0.0812
1,58,2000,209,0.0844
1,59,2000,188,0.076
1,60,2000,216,0.0872
1,61,2000,268,0.108
1,62,2000,148,0.06
1,63,2000,254,0.1024
1,64,2000,236,0.0952
1,65,2000,258,0.104
1,66,2000,278,0.112
1,67,2000,278,0.112
1,68,2000,260,0.1048
1,69,2000,180,0.0728
1,70,2000,184,0.0744
1,71,2000,188,0.076
1,72,2000,248,0.1
1,73,2000,260,0.1048
1,74,2000,234,0.0944
1,75,2000,176,0.0712
1,76,2000,278,0.112
1,77,2000,234,0.0944
1,78,2000,246,0.0992
1,79,2000,219,0.0884
1,80,2000,224,0.0904
1,81,2000,236,0.0952
1,82,2000,269,0.1084
1,83,2000,231,0.0932
1,84,2000,217,0.0876
1,85,2000,288,0.116
1,86,2000,259,0.1044
1,87,2000,247,0.0996
1,88,2000,209,0.0844
1,89,2000,206,0.0832
1,90,2000,168,0.068
1,91,2000,277,0.1116
1,92,2000,263,0.106
1,93,2000,260,0.1048
1,94,2000,239,0.0964
1,95,2000,221,0.0892
1,96,2000,224,0.0904
1,97,2000,267,0.1076
1,98,2000,273,0.11
1,99,2000,269,0.1084
1,100,2000,253,0.102
1,101,2000,293,0.118
1,102,2000,306,0.1232
1,103,2000,329,0.1324
1,104,2000,261,0.1052
1,105,2000,275,0.1108
1,106,2000,346,0.1392
1,107,2000,285,0.1148
1,108,2000,216,0.0872
1,109,2000,191,0.0772
1,110,2000,202,0.0816
1,111,2000,265,0.1068
1,112,2000,244,0.0984
1,113,2000,250,0.1008
1,114,2000,212,0.0856
1,115,2000,239,0.0964
1,116,2000,313,0.126
1,117,2000,327,0.1316
1,118,2000,312,0.1256
1,119,2000,253,0.102
1,120,2000,262,0.1056
1,121,2000,260,0.1048
1,122,2000,296,0.1192
1,123,2000,273,0.11
1,124,2000,278,0.112
1,125,2000,289,0.1164
1,126,2000,279,0.1124
1,127,2000,307,0.1236
1,128,2000,218,0.088
1,129,2000,295,0.1188
1,130,2000,230,0.0928
1,131,2000,330,0.1328
1,132,2000,313,0.126
1,133,2000,224,0.0904
1,134,2000,265,0.1068
1,135,2000,313,0.126
