obs_radius,episode,coverage_time,total_reward,final_coverage
1,1,10000,288,0.464
1,2,10000,295,0.4752
1,3,10000,290,0.4672
1,4,10000,347,0.5584
1,5,10000,367,0.5904
1,6,10000,378,0.608
1,7,10000,364,0.5856
1,8,10000,410,0.6592
1,9,10000,392,0.6304
1,10,10000,379,0.6096
1,11,10000,390,0.6272
1,12,10000,407,0.6544
1,13,10000,408,0.656
1,14,10000,416,0.6688
1,15,10000,412,0.6624
1,16,10000,424,0.6816
1,17,10000,405,0.6512
1,18,10000,399,0.6416
1,19,10000,390,0.6272
1,20,10000,404,0.6496
1,21,10000,419,0.6736
1,22,10000,436,0.7008
1,23,10000,439,0.7056
1,24,10000,425,0.6832
1,25,10000,418,0.672
1,26,10000,435,0.6992
1,27,10000,425,0.6832
1,28,10000,426,0.6848
1,29,10000,437,0.7024
1,30,10000,431,0.6928
1,31,10000,436,0.7008
1,32,10000,430,0.6912
1,33,10000,419,0.6736
1,34,10000,424,0.6816
1,35,10000,464,0.7456
1,36,10000,452,0.7264
1,37,10000,428,0.688
1,38,10000,425,0.6832
1,39,10000,436,0.7008
1,40,10000,458,0.736
1,41,10000,461,0.7408
1,42,10000,431,0.6928
1,43,10000,452,0.7264
1,44,10000,450,0.7232
1,45,10000,440,0.7072
1,46,10000,446,0.7168
1,47,10000,457,0.7344
1,48,10000,462,0.7424
1,49,10000,469,0.7536
1,50,10000,452,0.7264
1,51,10000,435,0.6992
1,52,10000,450,0.7232
1,53,10000,451,0.7248
1,54,10000,456,0.7328
1,55,10000,479,0.7696
1,56,10000,473,0.76
1,57,10000,457,0.7344
1,58,10000,481,0.7728
1,59,10000,469,0.7536
1,60,10000,470,0.7552
1,61,10000,447,0.7184
1,62,10000,450,0.7232
1,63,10000,480,0.7712
1,64,10000,473,0.76
1,65,10000,475,0.7632
1,66,10000,469,0.7536
1,67,10000,470,0.7552
1,68,10000,478,0.768
1,69,10000,478,0.768
1,70,10000,494,0.7936
1,71,10000,474,0.7616
1,72,10000,494,0.7936
1,73,10000,486,0.7808
1,74,10000,488,0.784
1,75,10000,472,0.7584
1,76,10000,503,0.808
1,77,10000,508,0.816
1,78,10000,486,0.7808
1,79,10000,500,0.8032
1,80,10000,501,0.8048
1,81,10000,483,0.776
1,82,10000,509,0.8176
1,83,10000,498,0.8
1,84,10000,499,0.8016
1,85,10000,507,0.8144
1,86,10000,517,0.8304
1,87,10000,511,0.8208
1,88,10000,514,0.8256
1,89,10000,507,0.8144
1,90,10000,517,0.8304
1,91,10000,498,0.8
1,92,10000,525,0.8432
1,93,10000,511,0.8208
1,94,10000,528,0.848
1,95,10000,510,0.8192
1,96,10000,491,0.7888
1,97,10000,509,0.8176
1,98,10000,510,0.8192
1,99,10000,490,0.7872
1,100,10000,512,0.8224
1,101,10000,489,0.7856
1,102,10000,520,0.8352
1,103,10000,511,0.8208
1,104,10000,521,0.8368
1,105,10000,535,0.8592
1,106,10000,524,0.8416
1,107,10000,527,0.8464
1,108,10000,522,0.8384
1,109,10000,529,0.8496
1,110,10000,539,0.8656
1,111,10000,536,0.8608
1,112,10000,531,0.8528
1,113,10000,509,0.8176
1,114,10000,542,0.8704
1,115,10000,541,0.8688
1,116,10000,546,0.8768
1,117,10000,552,0.8864
1,118,10000,525,0.8432
1,119,10000,541,0.8688
1,120,10000,520,0.8352
1,121,10000,548,0.88
1,122,10000,546,0.8768
1,123,10000,531,0.8528
1,124,10000,530,0.8512
1,125,10000,550,0.8832
1,126,10000,538,0.864
1,127,10000,544,0.8736
1,128,10000,553,0.888
1,129,10000,542,0.8704
1,130,10000,555,0.8912
1,131,10000,548,0.88
1,132,10000,550,0.8832
1,133,10000,546,0.8768
1,134,10000,540,0.8672
1,135,10000,559,0.8976
1,136,10000,535,0.8592
1,137,10000,556,0.8928
1,138,10000,526,0.8448
1,139,10000,554,0.8896
1,140,10000,557,0.8944
1,141,10000,561,0.9008
1,142,10000,559,0.8976
1,143,10000,546,0.8768
1,144,10000,539,0.8656
1,145,10000,536,0.8608
1,146,10000,533,0.856
1,147,10000,566,0.9088
1,148,10000,547,0.8784
1,149,10000,567,0.9104
1,150,10000,572,0.9184
1,151,10000,568,0.912
1,152,10000,562,0.9024
1,153,10000,569,0.9136
1,154,10000,538,0.864
1,155,10000,548,0.88
1,156,10000,558,0.896
1,157,10000,572,0.9184
1,158,10000,573,0.92
1,159,10000,569,0.9136
1,160,10000,582,0.9344
1,161,10000,579,0.9296
1,162,10000,578,0.928
1,163,10000,547,0.8784
1,164,10000,577,0.9264
1,165,10000,583,0.936
1,166,10000,564,0.9056
1,167,10000,584,0.9376
1,168,10000,586,0.9408
1,169,10000,598,0.96
1,170,10000,583,0.936
1,171,10000,585,0.9392
1,172,10000,576,0.9248
1,173,10000,582,0.9344
1,174,10000,592,0.9504
1,175,10000,582,0.9344
1,176,10000,580,0.9312
1,177,10000,566,0.9088
1,178,10000,563,0.904
1,179,10000,589,0.9456
1,180,10000,584,0.9376
1,181,10000,581,0.9328
1,182,10000,587,0.9424
1,183,10000,583,0.936
1,184,10000,573,0.92
1,185,10000,586,0.9408
1,186,10000,603,0.968
1,187,10000,585,0.9392
1,188,10000,599,0.9616
1,189,10000,590,0.9472
1,190,10000,596,0.9568
1,191,10000,588,0.944
1,192,10000,594,0.9536
1,193,10000,593,0.952
1,194,10000,598,0.96
1,195,10000,597,0.9584
1,196,10000,599,0.9616
1,197,10000,594,0.9536
1,198,10000,575,0.9232
1,199,10000,590,0.9472
1,200,10000,579,0.9296
1,201,10000,586,0.9408
1,202,10000,599,0.9616
1,203,10000,598,0.96
1,204,10000,575,0.9232
1,205,10000,599,0.9616
1,206,10000,570,0.9152
1,207,10000,585,0.9392
1,208,10000,586,0.9408
1,209,10000,575,0.9232
1,210,10000,569,0.9136
1,211,10000,591,0.9488
1,212,10000,603,0.968
1,213,10000,607,0.9744
1,214,10000,601,0.9648
1,215,10000,589,0.9456
1,216,10000,579,0.9296
1,217,10000,586,0.9408
1,218,10000,582,0.9344
1,219,10000,599,0.9616
1,220,10000,589,0.9456
1,221,10000,605,0.9712
1,222,10000,599,0.9616
1,223,10000,599,0.9616
1,224,10000,587,0.9424
1,225,10000,579,0.9296
1,226,10000,603,0.968
1,227,10000,607,0.9744
1,228,10000,606,0.9728
1,229,10000,600,0.9632
1,230,10000,595,0.9552
1,231,10000,611,0.9808
1,232,10000,608,0.976
1,233,10000,540,0.8672
1,234,10000,614,0.9856
1,235,10000,598,0.96
1,236,10000,614,0.9856
1,237,10000,600,0.9632
1,238,10000,617,0.9904
1,239,10000,611,0.9808
1,240,10000,598,0.96
1,241,10000,606,0.9728
1,242,10000,614,0.9856
1,243,10000,605,0.9712
1,244,10000,610,0.9792
1,245,10000,608,0.976
1,246,10000,618,0.992
1,247,10000,571,0.9168
1,248,10000,610,0.9792
1,249,10000,616,0.9888
1,250,10000,613,0.984
1,251,10000,590,0.9472
1,252,10000,609,0.9776
1,253,10000,606,0.9728
1,254,10000,584,0.9376
1,255,10000,614,0.9856
1,256,10000,582,0.9344
1,257,10000,574,0.9216
1,258,10000,614,0.9856
1,259,10000,619,0.9936
1,260,10000,618,0.992
1,261,10000,610,0.9792
1,262,10000,568,0.912
1,263,10000,618,0.992
1,264,10000,612,0.9824
1,265,10000,608,0.976
1,266,10000,602,0.9664
1,267,10000,554,0.8896
1,268,10000,588,0.944
1,269,10000,612,0.9824
1,270,10000,602,0.9664
1,271,10000,619,0.9936
1,272,10000,611,0.9808
1,273,10000,616,0.9888
1,274,10000,606,0.9728
1,275,10000,595,0.9552
1,276,10000,611,0.9808
1,277,10000,591,0.9488
1,278,10000,604,0.9696
1,279,10000,611,0.9808
1,280,10000,609,0.9776
1,281,10000,618,0.992
1,282,10000,551,0.8848
1,283,10000,583,0.936
1,284,10000,615,0.9872
1,285,10000,618,0.992
1,286,10000,618,0.992
1,287,10000,606,0.9728
1,288,10000,611,0.9808
1,289,10000,607,0.9744
1,290,10000,610,0.9792
1,291,10000,565,0.9072
1,292,10000,616,0.9888
1,293,10000,616,0.9888
1,294,10000,588,0.944
1,295,10000,602,0.9664
1,296,10000,618,0.992
1,297,10000,606,0.9728
1,298,10000,610,0.9792
1,299,10000,606,0.9728
1,300,10000,597,0.9584
1,301,10000,619,0.9936
1,302,10000,601,0.9648
1,303,10000,598,0.96
1,304,10000,602,0.9664
1,305,10000,613,0.984
1,306,10000,622,0.9984
1,307,10000,587,0.9424
1,308,10000,573,0.92
1,309,10000,622,0.9984
1,310,10000,608,0.976
1,311,10000,616,0.9888
1,312,10000,616,0.9888
1,313,10000,580,0.9312
1,314,10000,618,0.992
1,315,10000,551,0.8848
1,316,10000,619,0.9936
1,317,10000,596,0.9568
1,318,10000,616,0.9888
1,319,10000,620,0.9952
1,320,10000,621,0.9968
1,321,10000,618,0.992
1,322,10000,609,0.9776
1,323,10000,620,0.9952
