grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
50,50,2,1,2500,222,0.0896
50,50,2,2,2500,165,0.0668
50,50,2,3,2500,252,0.1016
50,50,2,4,2500,260,0.1048
50,50,2,5,2500,214,0.0864
50,50,2,6,2500,197,0.0796
50,50,2,7,2500,187,0.0756
50,50,2,8,2500,199,0.0804
50,50,2,9,2500,277,0.1116
50,50,2,10,2500,280,0.1128
50,50,2,11,2500,300,0.1208
50,50,2,12,2500,284,0.1144
50,50,2,13,2500,207,0.0836
50,50,2,14,2500,272,0.1096
50,50,2,15,2500,243,0.098
50,50,2,16,2500,274,0.1104
50,50,2,17,2500,225,0.0908
50,50,2,18,2500,275,0.1108
50,50,2,19,2500,194,0.0784
50,50,2,20,2500,229,0.0924
50,50,2,21,2500,191,0.0772
50,50,2,22,2500,255,0.1028
50,50,2,23,2500,284,0.1144
50,50,2,24,2500,208,0.084
50,50,2,25,2500,333,0.134
50,50,2,26,2500,286,0.1152
50,50,2,27,2500,270,0.1088
50,50,2,28,2500,308,0.124
50,50,2,29,2500,275,0.1108
50,50,2,30,2500,239,0.0964
50,50,2,31,2500,231,0.0932
50,50,2,32,2500,302,0.1216
50,50,2,33,2500,308,0.124
50,50,2,34,2500,186,0.0752
50,50,2,35,2500,218,0.088
50,50,2,36,2500,288,0.116
50,50,2,37,2500,236,0.0952
50,50,2,38,2500,260,0.1048
50,50,2,39,2500,272,0.1096
50,50,2,40,2500,262,0.1056
50,50,2,41,2500,260,0.1048
50,50,2,42,2500,253,0.102
50,50,2,43,2500,240,0.0968
50,50,2,44,2500,261,0.1052
50,50,2,45,2500,255,0.1028
50,50,2,46,2500,289,0.1164
50,50,2,47,2500,274,0.1104
50,50,2,48,2500,269,0.1084
50,50,2,49,2500,306,0.1232
50,50,2,50,2500,292,0.1176
50,50,2,51,2500,286,0.1152
50,50,2,52,2500,326,0.1312
50,50,2,53,2500,249,0.1004
50,50,2,54,2500,298,0.12
50,50,2,55,2500,235,0.0948
50,50,2,56,2500,249,0.1004
50,50,2,57,2500,268,0.108
50,50,2,58,2500,274,0.1104
50,50,2,59,2500,280,0.1128
50,50,2,60,2500,309,0.1244
50,50,2,61,2500,253,0.102
50,50,2,62,2500,220,0.0888
50,50,2,63,2500,326,0.1312
50,50,2,64,2500,347,0.1396
50,50,2,65,2500,214,0.0864
50,50,2,66,2500,284,0.1144
50,50,2,67,2500,273,0.11
50,50,2,68,2500,285,0.1148
50,50,2,69,2500,244,0.0984
50,50,2,70,2500,288,0.116
50,50,2,71,2500,324,0.1304
