grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
50,50,1,1,2500,208,0.084
50,50,1,2,2500,279,0.1124
50,50,1,3,2500,273,0.11
50,50,1,4,2500,215,0.0868
50,50,1,5,2500,264,0.1064
50,50,1,6,2500,207,0.0836
50,50,1,7,2500,209,0.0844
50,50,1,8,2500,252,0.1016
50,50,1,9,2500,221,0.0892
50,50,1,10,2500,245,0.0988
50,50,1,11,2500,262,0.1056
50,50,1,12,2500,350,0.1408
50,50,1,13,2500,214,0.0864
50,50,1,14,2500,267,0.1076
50,50,1,15,2500,283,0.114
50,50,1,16,2500,268,0.108
50,50,1,17,2500,203,0.082
50,50,1,18,2500,255,0.1028
50,50,1,19,2500,238,0.096
50,50,1,20,2500,242,0.0976
50,50,1,21,2500,202,0.0816
50,50,1,22,2500,332,0.1336
50,50,1,23,2500,255,0.1028
50,50,1,24,2500,278,0.112
50,50,1,25,2500,214,0.0864
50,50,1,26,2500,330,0.1328
50,50,1,27,2500,224,0.0904
50,50,1,28,2500,239,0.0964
50,50,1,29,2500,189,0.0764
50,50,1,30,2500,278,0.112
50,50,1,31,2500,270,0.1088
50,50,1,32,2500,361,0.1452
50,50,1,33,2500,231,0.0932
50,50,1,34,2500,231,0.0932
50,50,1,35,2500,270,0.1088
50,50,1,36,2500,256,0.1032
50,50,1,37,2500,251,0.1012
50,50,1,38,2500,227,0.0916
50,50,1,39,2500,289,0.1164
50,50,1,40,2500,257,0.1036
50,50,1,41,2500,253,0.102
50,50,1,42,2500,334,0.1344
50,50,1,43,2500,233,0.094
50,50,1,44,2500,277,0.1116
50,50,1,45,2500,269,0.1084
50,50,1,46,2500,249,0.1004
50,50,1,47,2500,300,0.1208
50,50,1,48,2500,201,0.0812
50,50,1,49,2500,269,0.1084
50,50,1,50,2500,269,0.1084
50,50,1,51,2500,226,0.0912
50,50,1,52,2500,311,0.1252
50,50,1,53,2500,259,0.1044
50,50,1,54,2500,244,0.0984
50,50,1,55,2500,306,0.1232
50,50,1,56,2500,215,0.0868
50,50,1,57,2500,278,0.112
50,50,1,58,2500,229,0.0924
50,50,1,59,2500,227,0.0916
50,50,1,60,2500,335,0.1348
50,50,1,61,2500,279,0.1124
50,50,1,62,2500,262,0.1056
50,50,1,63,2500,291,0.1172
50,50,1,64,2500,274,0.1104
50,50,1,65,2500,300,0.1208
50,50,1,66,2500,304,0.1224
50,50,1,67,2500,296,0.1192
50,50,1,68,2500,284,0.1144
50,50,1,69,2500,228,0.092
50,50,1,70,2500,260,0.1048
50,50,1,71,2500,251,0.1012
50,50,1,72,2500,276,0.1112
50,50,1,73,2500,229,0.0924
50,50,1,74,2500,220,0.0888
50,50,1,75,2500,266,0.1072
50,50,1,76,2500,245,0.0988
50,50,1,77,2500,268,0.108
50,50,1,78,2500,248,0.1
50,50,1,79,2500,294,0.1184
50,50,1,80,2500,306,0.1232
50,50,1,81,2500,314,0.1264
50,50,1,82,2500,303,0.122
50,50,1,83,2500,301,0.1212
50,50,1,84,2500,258,0.104
50,50,1,85,2500,259,0.1044
50,50,1,86,2500,271,0.1092
50,50,1,87,2500,235,0.0948
50,50,1,88,2500,280,0.1128
50,50,1,89,2500,226,0.0912
50,50,1,90,2500,268,0.108
