grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
25,25,,1,625,67,0.1104
25,25,,2,625,83,0.136
25,25,,3,625,96,0.1568
25,25,,4,625,124,0.2016
25,25,,5,625,108,0.176
25,25,,6,625,124,0.2016
25,25,,7,625,63,0.104
25,25,,8,625,134,0.2176
25,25,,9,625,89,0.1456
25,25,,10,625,141,0.2288
25,25,,11,625,102,0.1664
25,25,,12,625,133,0.216
25,25,,13,625,105,0.1712
25,25,,14,625,87,0.1424
25,25,,15,625,58,0.096
25,25,,16,625,71,0.1168
25,25,,17,625,104,0.1696
25,25,,18,625,98,0.16
25,25,,19,625,105,0.1712
25,25,,20,625,103,0.168
25,25,,21,625,100,0.1632
25,25,,22,625,105,0.1712
25,25,,23,625,113,0.184
25,25,,24,625,104,0.1696
25,25,,25,625,95,0.1552
25,25,,26,625,96,0.1568
25,25,,27,625,117,0.1904
25,25,,28,625,86,0.1408
25,25,,29,625,131,0.2128
25,25,,30,625,147,0.2384
25,25,,31,625,98,0.16
25,25,,32,625,128,0.208
25,25,,33,625,136,0.2208
25,25,,34,625,130,0.2112
25,25,,35,625,126,0.2048
25,25,,36,625,133,0.216
25,25,,37,625,119,0.1936
25,25,,38,625,112,0.1824
25,25,,39,625,154,0.2496
25,25,,40,625,118,0.192
25,25,,41,625,122,0.1984
25,25,,42,625,114,0.1856
25,25,,43,625,112,0.1824
25,25,,44,625,140,0.2272
25,25,,45,625,146,0.2368
25,25,,46,625,120,0.1952
25,25,,47,625,118,0.192
25,25,,48,625,131,0.2128
25,25,,49,625,128,0.208
25,25,,50,625,145,0.2352
25,25,,51,625,124,0.2016
25,25,,52,625,117,0.1904
25,25,,53,625,107,0.1744
25,25,,54,625,154,0.2496
25,25,,55,625,119,0.1936
25,25,,56,625,97,0.1584
25,25,,57,625,159,0.2576
25,25,,58,625,117,0.1904
25,25,,59,625,117,0.1904
25,25,,60,625,152,0.2464
25,25,,61,625,156,0.2528
25,25,,62,625,151,0.2448
25,25,,63,625,116,0.1888
25,25,,64,625,139,0.2256
25,25,,65,625,138,0.224
25,25,,66,625,118,0.192
25,25,,67,625,162,0.2624
25,25,,68,625,132,0.2144
25,25,,69,625,140,0.2272
25,25,,70,625,143,0.232
25,25,,71,625,143,0.232
25,25,,72,625,137,0.2224
25,25,,73,625,84,0.1376
25,25,,74,625,116,0.1888
25,25,,75,625,111,0.1808
25,25,,76,625,127,0.2064
25,25,,77,625,109,0.1776
25,25,,78,625,128,0.208
25,25,,79,625,116,0.1888
25,25,,80,625,119,0.1936
25,25,,81,625,109,0.1776
25,25,,82,625,120,0.1952
25,25,,83,625,100,0.1632
25,25,,84,625,158,0.256
25,25,,85,625,138,0.224
25,25,,86,625,111,0.1808
25,25,,87,625,113,0.184
25,25,,88,625,153,0.248
25,25,,89,625,110,0.1792
25,25,,90,625,106,0.1728
25,25,,91,625,128,0.208
25,25,,92,625,138,0.224
25,25,,93,625,161,0.2608
25,25,,94,625,123,0.2
25,25,,95,625,148,0.24
25,25,,96,625,143,0.232
25,25,,97,625,152,0.2464
25,25,,98,625,109,0.1776
25,25,,99,625,117,0.1904
25,25,,100,625,135,0.2192
25,25,,101,625,134,0.2176
25,25,,102,625,139,0.2256
25,25,,103,625,146,0.2368
25,25,,104,625,143,0.232
25,25,,105,625,136,0.2208
25,25,,106,625,161,0.2608
25,25,,107,625,132,0.2144
25,25,,108,625,136,0.2208
25,25,,109,625,145,0.2352
25,25,,110,625,105,0.1712
25,25,,111,625,98,0.16
25,25,,112,625,143,0.232
25,25,,113,625,154,0.2496
25,25,,114,625,118,0.192
25,25,,115,625,141,0.2288
25,25,,116,625,131,0.2128
25,25,,117,625,130,0.2112
25,25,,118,625,116,0.1888
25,25,,119,625,145,0.2352
