grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
50,50,1,1,10000,350,0.1408
50,50,1,2,10000,477,0.1916
50,50,1,3,10000,306,0.1232
50,50,1,4,10000,420,0.1688
50,50,1,5,10000,448,0.18
50,50,1,6,10000,426,0.1712
50,50,1,7,10000,484,0.1944
50,50,1,8,10000,453,0.182
50,50,1,9,10000,486,0.1952
50,50,1,10,10000,508,0.204
50,50,1,11,10000,508,0.204
50,50,1,12,10000,534,0.2144
50,50,1,13,10000,533,0.214
50,50,1,14,10000,404,0.1624
50,50,1,15,10000,434,0.1744
50,50,1,16,10000,482,0.1936
50,50,1,17,10000,491,0.1972
50,50,1,18,10000,524,0.2104
50,50,1,19,10000,564,0.2264
50,50,1,20,10000,410,0.1648
50,50,1,21,10000,418,0.168
50,50,1,22,10000,437,0.1756
50,50,1,23,10000,509,0.2044
50,50,1,24,10000,420,0.1688
50,50,1,25,10000,522,0.2096
50,50,1,26,10000,401,0.1612
50,50,1,27,10000,393,0.158
50,50,1,28,10000,519,0.2084
50,50,1,29,10000,470,0.1888
50,50,1,30,10000,551,0.2212
50,50,1,31,10000,540,0.2168
50,50,1,32,10000,536,0.2152
50,50,1,33,10000,514,0.2064
50,50,1,34,10000,495,0.1988
50,50,1,35,10000,521,0.2092
50,50,1,36,10000,537,0.2156
50,50,1,37,10000,434,0.1744
50,50,1,38,10000,487,0.1956
50,50,1,39,10000,420,0.1688
50,50,1,40,10000,544,0.2184
50,50,1,41,10000,479,0.1924
50,50,1,42,10000,493,0.198
50,50,1,43,10000,426,0.1712
50,50,1,44,10000,560,0.2248
50,50,1,45,10000,566,0.2272
50,50,1,46,10000,469,0.1884
50,50,1,47,10000,465,0.1868
50,50,1,48,10000,571,0.2292
50,50,1,49,10000,584,0.2344
50,50,1,50,10000,535,0.2148
50,50,1,51,10000,532,0.2136
50,50,1,52,10000,476,0.1912
50,50,1,53,10000,580,0.2328
50,50,1,54,10000,517,0.2076
50,50,1,55,10000,579,0.2324
50,50,1,56,10000,575,0.2308
50,50,1,57,10000,509,0.2044
50,50,1,58,10000,583,0.234
50,50,1,59,10000,493,0.198
50,50,1,60,10000,463,0.186
50,50,1,61,10000,571,0.2292
50,50,1,62,10000,476,0.1912
50,50,1,63,10000,489,0.1964
50,50,1,64,10000,555,0.2228
50,50,1,65,10000,496,0.1992
50,50,1,66,10000,520,0.2088
50,50,1,67,10000,644,0.2584
50,50,1,68,10000,575,0.2308
50,50,1,69,10000,603,0.242
50,50,1,70,10000,665,0.2668
50,50,1,71,10000,490,0.1968
50,50,1,72,10000,512,0.2056
50,50,1,73,10000,584,0.2344
50,50,1,74,10000,605,0.2428
50,50,1,75,10000,471,0.1892
50,50,1,76,10000,578,0.232
50,50,1,77,10000,585,0.2348
50,50,1,78,10000,566,0.2272
50,50,1,79,10000,472,0.1896
50,50,1,80,10000,482,0.1936
50,50,1,81,10000,554,0.2224
50,50,1,82,10000,531,0.2132
50,50,1,83,10000,644,0.2584
50,50,1,84,10000,616,0.2472
50,50,1,85,10000,462,0.1856
50,50,1,86,10000,541,0.2172
50,50,1,87,10000,585,0.2348
50,50,1,88,10000,582,0.2336
50,50,1,89,10000,616,0.2472
50,50,1,90,10000,552,0.2216
50,50,1,91,10000,575,0.2308
50,50,1,92,10000,636,0.2552
50,50,1,93,10000,524,0.2104
50,50,1,94,10000,579,0.2324
50,50,1,95,10000,603,0.242
50,50,1,96,10000,617,0.2476
50,50,1,97,10000,583,0.234
50,50,1,98,10000,685,0.2748
50,50,1,99,10000,597,0.2396
50,50,1,100,10000,531,0.2132
50,50,1,101,10000,546,0.2192
50,50,1,102,10000,681,0.2732
50,50,1,103,10000,587,0.2356
50,50,1,104,10000,618,0.248
50,50,1,105,10000,573,0.23
50,50,1,106,10000,686,0.2752
50,50,1,107,10000,622,0.2496
50,50,1,108,10000,636,0.2552
50,50,1,109,10000,639,0.2564
50,50,1,110,10000,621,0.2492
50,50,1,111,10000,651,0.2612
50,50,1,112,10000,533,0.214
50,50,1,113,10000,637,0.2556
50,50,1,114,10000,697,0.2796
50,50,1,115,10000,671,0.2692
50,50,1,116,10000,677,0.2716
50,50,1,117,10000,666,0.2672
50,50,1,118,10000,500,0.2008
50,50,1,119,10000,695,0.2788
50,50,1,120,10000,616,0.2472
50,50,1,121,10000,533,0.214
50,50,1,122,10000,554,0.2224
50,50,1,123,10000,657,0.2636
50,50,1,124,10000,659,0.2644
50,50,1,125,10000,689,0.2764
50,50,1,126,10000,756,0.3032
50,50,1,127,10000,536,0.2152
50,50,1,128,10000,692,0.2776
50,50,1,129,10000,589,0.2364
50,50,1,130,10000,654,0.2624
