grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
25,25,1,1,1250,124,0.2016
25,25,1,2,1250,149,0.2416
25,25,1,3,1250,149,0.2416
25,25,1,4,1250,96,0.1568
25,25,1,5,1250,84,0.1376
25,25,1,6,1250,95,0.1552
25,25,1,7,1250,105,0.1712
25,25,1,8,1250,109,0.1776
25,25,1,9,1250,137,0.2224
25,25,1,10,1250,144,0.2336
25,25,1,11,1250,117,0.1904
25,25,1,12,1250,125,0.2032
25,25,1,13,1250,140,0.2272
25,25,1,14,1250,138,0.224
25,25,1,15,1250,121,0.1968
25,25,1,16,1250,137,0.2224
25,25,1,17,1250,116,0.1888
25,25,1,18,1250,121,0.1968
25,25,1,19,1250,127,0.2064
25,25,1,20,1250,118,0.192
25,25,1,21,1250,137,0.2224
25,25,1,22,1250,159,0.2576
25,25,1,23,1250,135,0.2192
25,25,1,24,1250,185,0.2992
25,25,1,25,1250,143,0.232
25,25,1,26,1250,156,0.2528
25,25,1,27,1250,147,0.2384
25,25,1,28,1250,151,0.2448
25,25,1,29,1250,176,0.2848
25,25,1,30,1250,149,0.2416
25,25,1,31,1250,137,0.2224
25,25,1,32,1250,132,0.2144
25,25,1,33,1250,139,0.2256
25,25,1,34,1250,145,0.2352
25,25,1,35,1250,125,0.2032
25,25,1,36,1250,138,0.224
25,25,1,37,1250,164,0.2656
25,25,1,38,1250,146,0.2368
25,25,1,39,1250,169,0.2736
25,25,1,40,1250,124,0.2016
25,25,1,41,1250,127,0.2064
25,25,1,42,1250,172,0.2784
25,25,1,43,1250,127,0.2064
25,25,1,44,1250,130,0.2112
25,25,1,45,1250,150,0.2432
25,25,1,46,1250,175,0.2832
25,25,1,47,1250,160,0.2592
25,25,1,48,1250,120,0.1952
25,25,1,49,1250,109,0.1776
25,25,1,50,1250,150,0.2432
25,25,1,51,1250,139,0.2256
25,25,1,52,1250,176,0.2848
25,25,1,53,1250,122,0.1984
25,25,1,54,1250,203,0.328
25,25,1,55,1250,122,0.1984
25,25,1,56,1250,124,0.2016
25,25,1,57,1250,162,0.2624
25,25,1,58,1250,178,0.288
25,25,1,59,1250,165,0.2672
25,25,1,60,1250,124,0.2016
25,25,1,61,1250,156,0.2528
25,25,1,62,1250,158,0.256
25,25,1,63,1250,201,0.3248
25,25,1,64,1250,130,0.2112
25,25,1,65,1250,169,0.2736
25,25,1,66,1250,158,0.256
25,25,1,67,1250,186,0.3008
25,25,1,68,1250,161,0.2608
25,25,1,69,1250,142,0.2304
25,25,1,70,1250,138,0.224
25,25,1,71,1250,124,0.2016
