grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
25,25,,1,2500,164,0.2656
25,25,,2,2500,180,0.2912
25,25,,3,2500,245,0.3952
25,25,,4,2500,207,0.3344
25,25,,5,2500,237,0.3824
25,25,,6,2500,150,0.2432
25,25,,7,2500,218,0.352
25,25,,8,2500,225,0.3632
25,25,,9,2500,150,0.2432
25,25,,10,2500,155,0.2512
25,25,,11,2500,229,0.3696
25,25,,12,2500,154,0.2496
25,25,,13,2500,178,0.288
25,25,,14,2500,260,0.4192
25,25,,15,2500,171,0.2768
25,25,,16,2500,252,0.4064
25,25,,17,2500,219,0.3536
25,25,,18,2500,196,0.3168
25,25,,19,2500,237,0.3824
25,25,,20,2500,238,0.384
25,25,,21,2500,246,0.3968
25,25,,22,2500,223,0.36
25,25,,23,2500,238,0.384
25,25,,24,2500,226,0.3648
25,25,,25,2500,220,0.3552
25,25,,26,2500,229,0.3696
25,25,,27,2500,232,0.3744
25,25,,28,2500,221,0.3568
25,25,,29,2500,230,0.3712
25,25,,30,2500,230,0.3712
25,25,,31,2500,235,0.3792
25,25,,32,2500,241,0.3888
25,25,,33,2500,253,0.408
25,25,,34,2500,232,0.3744
25,25,,35,2500,275,0.4432
25,25,,36,2500,229,0.3696
25,25,,37,2500,230,0.3712
25,25,,38,2500,250,0.4032
25,25,,39,2500,250,0.4032
25,25,,40,2500,253,0.408
25,25,,41,2500,259,0.4176
25,25,,42,2500,260,0.4192
25,25,,43,2500,185,0.2992
25,25,,44,2500,250,0.4032
25,25,,45,2500,166,0.2688
25,25,,46,2500,235,0.3792
25,25,,47,2500,226,0.3648
25,25,,48,2500,232,0.3744
25,25,,49,2500,189,0.3056
25,25,,50,2500,225,0.3632
25,25,,51,2500,248,0.4
25,25,,52,2500,242,0.3904
25,25,,53,2500,231,0.3728
25,25,,54,2500,250,0.4032
25,25,,55,2500,235,0.3792
25,25,,56,2500,237,0.3824
25,25,,57,2500,237,0.3824
25,25,,58,2500,222,0.3584
25,25,,59,2500,284,0.4576
25,25,,60,2500,232,0.3744
25,25,,61,2500,234,0.3776
25,25,,62,2500,200,0.3232
25,25,,63,2500,255,0.4112
25,25,,64,2500,225,0.3632
25,25,,65,2500,224,0.3616
25,25,,66,2500,263,0.424
25,25,,67,2500,234,0.3776
25,25,,68,2500,262,0.4224
25,25,,69,2500,227,0.3664
25,25,,70,2500,228,0.368
25,25,,71,2500,289,0.4656
25,25,,72,2500,243,0.392
25,25,,73,2500,242,0.3904
25,25,,74,2500,263,0.424
25,25,,75,2500,245,0.3952
25,25,,76,2500,263,0.424
25,25,,77,2500,252,0.4064
25,25,,78,2500,264,0.4256
25,25,,79,2500,232,0.3744
25,25,,80,2500,224,0.3616
25,25,,81,2500,269,0.4336
25,25,,82,2500,246,0.3968
25,25,,83,2500,237,0.3824
25,25,,84,2500,241,0.3888
25,25,,85,2500,283,0.456
25,25,,86,2500,257,0.4144
25,25,,87,2500,264,0.4256
25,25,,88,2500,195,0.3152
25,25,,89,2500,223,0.36
25,25,,90,2500,258,0.416
25,25,,91,2500,258,0.416
25,25,,92,2500,285,0.4592
25,25,,93,2500,264,0.4256
25,25,,94,2500,261,0.4208
25,25,,95,2500,274,0.4416
25,25,,96,2500,250,0.4032
25,25,,97,2500,267,0.4304
25,25,,98,2500,265,0.4272
25,25,,99,2500,255,0.4112
25,25,,100,2500,278,0.448
25,25,,101,2500,270,0.4352
25,25,,102,2500,236,0.3808
25,25,,103,2500,300,0.4832
25,25,,104,2500,294,0.4736
25,25,,105,2500,286,0.4608
25,25,,106,2500,294,0.4736
25,25,,107,2500,255,0.4112
25,25,,108,2500,243,0.392
25,25,,109,2500,270,0.4352
25,25,,110,2500,296,0.4768
25,25,,111,2500,291,0.4688
25,25,,112,2500,289,0.4656
25,25,,113,2500,269,0.4336
25,25,,114,2500,281,0.4528
25,25,,115,2500,273,0.44
25,25,,116,2500,289,0.4656
25,25,,117,2500,239,0.3856
25,25,,118,2500,274,0.4416
25,25,,119,2500,308,0.496
25,25,,120,2500,265,0.4272
25,25,,121,2500,276,0.4448
25,25,,122,2500,272,0.4384
25,25,,123,2500,260,0.4192
25,25,,124,2500,285,0.4592
25,25,,125,2500,285,0.4592
25,25,,126,2500,289,0.4656
25,25,,127,2500,265,0.4272
25,25,,128,2500,262,0.4224
25,25,,129,2500,279,0.4496
25,25,,130,2500,282,0.4544
25,25,,131,2500,300,0.4832
25,25,,132,2500,276,0.4448
25,25,,133,2500,300,0.4832
25,25,,134,2500,278,0.448
25,25,,135,2500,280,0.4512
25,25,,136,2500,296,0.4768
25,25,,137,2500,276,0.4448
25,25,,138,2500,287,0.4624
25,25,,139,2500,294,0.4736
25,25,,140,2500,304,0.4896
25,25,,141,2500,278,0.448
25,25,,142,2500,298,0.48
25,25,,143,2500,287,0.4624
25,25,,144,2500,267,0.4304
25,25,,145,2500,273,0.44
25,25,,146,2500,309,0.4976
25,25,,147,2500,294,0.4736
25,25,,148,2500,298,0.48
25,25,,149,2500,309,0.4976
25,25,,150,2500,297,0.4784
25,25,,151,2500,271,0.4368
25,25,,152,2500,305,0.4912
25,25,,153,2500,333,0.536
25,25,,154,2500,311,0.5008
25,25,,155,2500,301,0.4848
25,25,,156,2500,273,0.44
25,25,,157,2500,306,0.4928
25,25,,158,2500,319,0.5136
25,25,,159,2500,285,0.4592
25,25,,160,2500,277,0.4464
25,25,,161,2500,281,0.4528
25,25,,162,2500,294,0.4736
25,25,,163,2500,294,0.4736
25,25,,164,2500,321,0.5168
25,25,,165,2500,280,0.4512
25,25,,166,2500,272,0.4384
25,25,,167,2500,293,0.472
25,25,,168,2500,276,0.4448
25,25,,169,2500,305,0.4912
25,25,,170,2500,250,0.4032
25,25,,171,2500,297,0.4784
25,25,,172,2500,313,0.504
25,25,,173,2500,284,0.4576
25,25,,174,2500,288,0.464
25,25,,175,2500,313,0.504
25,25,,176,2500,305,0.4912
25,25,,177,2500,311,0.5008
25,25,,178,2500,308,0.496
25,25,,179,2500,308,0.496
25,25,,180,2500,301,0.4848
25,25,,181,2500,331,0.5328
25,25,,182,2500,304,0.4896
25,25,,183,2500,268,0.432
25,25,,184,2500,299,0.4816
25,25,,185,2500,320,0.5152
25,25,,186,2500,307,0.4944
25,25,,187,2500,268,0.432
25,25,,188,2500,266,0.4288
25,25,,189,2500,274,0.4416
25,25,,190,2500,301,0.4848
25,25,,191,2500,306,0.4928
25,25,,192,2500,313,0.504
25,25,,193,2500,321,0.5168
25,25,,194,2500,295,0.4752
25,25,,195,2500,321,0.5168
25,25,,196,2500,308,0.496
25,25,,197,2500,303,0.488
25,25,,198,2500,309,0.4976
25,25,,199,2500,326,0.5248
25,25,,200,2500,302,0.4864
25,25,,201,2500,281,0.4528
25,25,,202,2500,323,0.52
25,25,,203,2500,334,0.5376
25,25,,204,2500,327,0.5264
25,25,,205,2500,319,0.5136
25,25,,206,2500,310,0.4992
25,25,,207,2500,306,0.4928
25,25,,208,2500,302,0.4864
25,25,,209,2500,315,0.5072
25,25,,210,2500,321,0.5168
25,25,,211,2500,340,0.5472
25,25,,212,2500,278,0.448
25,25,,213,2500,320,0.5152
25,25,,214,2500,310,0.4992
25,25,,215,2500,301,0.4848
25,25,,216,2500,301,0.4848
25,25,,217,2500,293,0.472
25,25,,218,2500,323,0.52
25,25,,219,2500,338,0.544
25,25,,220,2500,308,0.496
25,25,,221,2500,311,0.5008
25,25,,222,2500,321,0.5168
25,25,,223,2500,301,0.4848
25,25,,224,2500,326,0.5248
25,25,,225,2500,334,0.5376
25,25,,226,2500,324,0.5216
25,25,,227,2500,305,0.4912
