grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
25,25,1,1,2500,129,0.2096
25,25,1,2,2500,142,0.2304
25,25,1,3,2500,141,0.2288
25,25,1,4,2500,158,0.256
25,25,1,5,2500,164,0.2656
25,25,1,6,2500,167,0.2704
25,25,1,7,2500,161,0.2608
25,25,1,8,2500,149,0.2416
25,25,1,9,2500,161,0.2608
25,25,1,10,2500,160,0.2592
25,25,1,11,2500,167,0.2704
25,25,1,12,2500,156,0.2528
25,25,1,13,2500,165,0.2672
25,25,1,14,2500,169,0.2736
25,25,1,15,2500,177,0.2864
25,25,1,16,2500,167,0.2704
25,25,1,17,2500,186,0.3008
25,25,1,18,2500,175,0.2832
25,25,1,19,2500,186,0.3008
25,25,1,20,2500,143,0.232
25,25,1,21,2500,192,0.3104
25,25,1,22,2500,183,0.296
25,25,1,23,2500,170,0.2752
25,25,1,24,2500,167,0.2704
25,25,1,25,2500,157,0.2544
25,25,1,26,2500,206,0.3328
25,25,1,27,2500,161,0.2608
25,25,1,28,2500,177,0.2864
25,25,1,29,2500,164,0.2656
25,25,1,30,2500,177,0.2864
25,25,1,31,2500,179,0.2896
25,25,1,32,2500,188,0.304
25,25,1,33,2500,183,0.296
25,25,1,34,2500,172,0.2784
25,25,1,35,2500,189,0.3056
25,25,1,36,2500,215,0.3472
25,25,1,37,2500,185,0.2992
25,25,1,38,2500,191,0.3088
25,25,1,39,2500,218,0.352
25,25,1,40,2500,185,0.2992
25,25,1,41,2500,203,0.328
25,25,1,42,2500,210,0.3392
25,25,1,43,2500,209,0.3376
25,25,1,44,2500,213,0.344
25,25,1,45,2500,186,0.3008
25,25,1,46,2500,187,0.3024
25,25,1,47,2500,192,0.3104
25,25,1,48,2500,195,0.3152
25,25,1,49,2500,220,0.3552
25,25,1,50,2500,216,0.3488
25,25,1,51,2500,208,0.336
25,25,1,52,2500,201,0.3248
25,25,1,53,2500,216,0.3488
25,25,1,54,2500,202,0.3264
25,25,1,55,2500,214,0.3456
25,25,1,56,2500,215,0.3472
25,25,1,57,2500,202,0.3264
25,25,1,58,2500,199,0.3216
25,25,1,59,2500,216,0.3488
25,25,1,60,2500,192,0.3104
25,25,1,61,2500,193,0.312
25,25,1,62,2500,207,0.3344
25,25,1,63,2500,227,0.3664
25,25,1,64,2500,234,0.3776
25,25,1,65,2500,209,0.3376
25,25,1,66,2500,207,0.3344
25,25,1,67,2500,223,0.36
25,25,1,68,2500,214,0.3456
25,25,1,69,2500,211,0.3408
25,25,1,70,2500,204,0.3296
25,25,1,71,2500,218,0.352
25,25,1,72,2500,215,0.3472
25,25,1,73,2500,215,0.3472
25,25,1,74,2500,218,0.352
25,25,1,75,2500,218,0.352
25,25,1,76,2500,198,0.32
