grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
50,50,1,1,5000,191,0.0772
50,50,1,2,5000,253,0.102
50,50,1,3,5000,284,0.1144
50,50,1,4,5000,379,0.1524
50,50,1,5,5000,259,0.1044
50,50,1,6,5000,275,0.1108
50,50,1,7,5000,218,0.088
50,50,1,8,5000,300,0.1208
50,50,1,9,5000,202,0.0816
50,50,1,10,5000,337,0.1356
50,50,1,11,5000,332,0.1336
50,50,1,12,5000,264,0.1064
50,50,1,13,5000,313,0.126
50,50,1,14,5000,265,0.1068
50,50,1,15,5000,282,0.1136
50,50,1,16,5000,264,0.1064
50,50,1,17,5000,289,0.1164
50,50,1,18,5000,315,0.1268
50,50,1,19,5000,303,0.122
50,50,1,20,5000,299,0.1204
50,50,1,21,5000,278,0.112
50,50,1,22,5000,297,0.1196
50,50,1,23,5000,286,0.1152
50,50,1,24,5000,331,0.1332
50,50,1,25,5000,274,0.1104
50,50,1,26,5000,293,0.118
50,50,1,27,5000,313,0.126
50,50,1,28,5000,358,0.144
50,50,1,29,5000,317,0.1276
50,50,1,30,5000,235,0.0948
50,50,1,31,5000,316,0.1272
50,50,1,32,5000,289,0.1164
50,50,1,33,5000,256,0.1032
50,50,1,34,5000,290,0.1168
50,50,1,35,5000,250,0.1008
50,50,1,36,5000,289,0.1164
50,50,1,37,5000,216,0.0872
50,50,1,38,5000,270,0.1088
50,50,1,39,5000,256,0.1032
50,50,1,40,5000,314,0.1264
50,50,1,41,5000,293,0.118
50,50,1,42,5000,321,0.1292
50,50,1,43,5000,209,0.0844
50,50,1,44,5000,258,0.104
50,50,1,45,5000,256,0.1032
50,50,1,46,5000,293,0.118
50,50,1,47,5000,308,0.124
50,50,1,48,5000,263,0.106
50,50,1,49,5000,291,0.1172
50,50,1,50,5000,301,0.1212
50,50,1,51,5000,310,0.1248
50,50,1,52,5000,284,0.1144
50,50,1,53,5000,254,0.1024
50,50,1,54,5000,357,0.1436
50,50,1,55,5000,241,0.0972
50,50,1,56,5000,337,0.1356
50,50,1,57,5000,306,0.1232
50,50,1,58,5000,308,0.124
50,50,1,59,5000,326,0.1312
50,50,1,60,5000,392,0.1576
50,50,1,61,5000,291,0.1172
50,50,1,62,5000,322,0.1296
50,50,1,63,5000,308,0.124
50,50,1,64,5000,341,0.1372
50,50,1,65,5000,253,0.102
50,50,1,66,5000,342,0.1376
50,50,1,67,5000,345,0.1388
50,50,1,68,5000,363,0.146
50,50,1,69,5000,320,0.1288
50,50,1,70,5000,341,0.1372
50,50,1,71,5000,363,0.146
50,50,1,72,5000,419,0.1684
50,50,1,73,5000,408,0.164
50,50,1,74,5000,422,0.1696
50,50,1,75,5000,413,0.166
50,50,1,76,5000,358,0.144
50,50,1,77,5000,367,0.1476
50,50,1,78,5000,367,0.1476
50,50,1,79,5000,393,0.158
50,50,1,80,5000,401,0.1612
50,50,1,81,5000,291,0.1172
50,50,1,82,5000,316,0.1272
50,50,1,83,5000,367,0.1476
50,50,1,84,5000,371,0.1492
50,50,1,85,5000,408,0.164
50,50,1,86,5000,280,0.1128
50,50,1,87,5000,358,0.144
50,50,1,88,5000,389,0.1564
50,50,1,89,5000,375,0.1508
50,50,1,90,5000,458,0.184
50,50,1,91,5000,449,0.1804
50,50,1,92,5000,435,0.1748
50,50,1,93,5000,415,0.1668
50,50,1,94,5000,415,0.1668
50,50,1,95,5000,424,0.1704
50,50,1,96,5000,430,0.1728
50,50,1,97,5000,399,0.1604
50,50,1,98,5000,374,0.1504
50,50,1,99,5000,400,0.1608
50,50,1,100,5000,441,0.1772
50,50,1,101,5000,441,0.1772
50,50,1,102,5000,388,0.156
50,50,1,103,5000,408,0.164
50,50,1,104,5000,412,0.1656
50,50,1,105,5000,360,0.1448
50,50,1,106,5000,446,0.1792
50,50,1,107,5000,440,0.1768
50,50,1,108,5000,420,0.1688
50,50,1,109,5000,460,0.1848
50,50,1,110,5000,442,0.1776
50,50,1,111,5000,453,0.182
50,50,1,112,5000,455,0.1828
50,50,1,113,5000,424,0.1704
50,50,1,114,5000,454,0.1824
50,50,1,115,5000,454,0.1824
50,50,1,116,5000,422,0.1696
50,50,1,117,5000,401,0.1612
50,50,1,118,5000,453,0.182
50,50,1,119,5000,433,0.174
50,50,1,120,5000,414,0.1664
50,50,1,121,5000,483,0.194
50,50,1,122,5000,424,0.1704
50,50,1,123,5000,389,0.1564
50,50,1,124,5000,422,0.1696
50,50,1,125,5000,422,0.1696
50,50,1,126,5000,487,0.1956
50,50,1,127,5000,461,0.1852
50,50,1,128,5000,450,0.1808
50,50,1,129,5000,511,0.2052
50,50,1,130,5000,438,0.176
50,50,1,131,5000,383,0.154
50,50,1,132,5000,412,0.1656
50,50,1,133,5000,421,0.1692
50,50,1,134,5000,423,0.17
50,50,1,135,5000,474,0.1904
50,50,1,136,5000,456,0.1832
50,50,1,137,5000,462,0.1856
50,50,1,138,5000,461,0.1852
50,50,1,139,5000,463,0.186
50,50,1,140,5000,462,0.1856
50,50,1,141,5000,460,0.1848
50,50,1,142,5000,516,0.2072
50,50,1,143,5000,465,0.1868
50,50,1,144,5000,444,0.1784
50,50,1,145,5000,487,0.1956
50,50,1,146,5000,470,0.1888
50,50,1,147,5000,457,0.1836
50,50,1,148,5000,484,0.1944
50,50,1,149,5000,482,0.1936
50,50,1,150,5000,520,0.2088
50,50,1,151,5000,524,0.2104
50,50,1,152,5000,430,0.1728
50,50,1,153,5000,451,0.1812
50,50,1,154,5000,472,0.1896
50,50,1,155,5000,494,0.1984
50,50,1,156,5000,497,0.1996
50,50,1,157,5000,487,0.1956
50,50,1,158,5000,487,0.1956
50,50,1,159,5000,464,0.1864
50,50,1,160,5000,468,0.188
50,50,1,161,5000,444,0.1784
50,50,1,162,5000,440,0.1768
50,50,1,163,5000,451,0.1812
50,50,1,164,5000,487,0.1956
50,50,1,165,5000,502,0.2016
50,50,1,166,5000,464,0.1864
50,50,1,167,5000,517,0.2076
50,50,1,168,5000,512,0.2056
50,50,1,169,5000,506,0.2032
50,50,1,170,5000,506,0.2032
50,50,1,171,5000,482,0.1936
50,50,1,172,5000,495,0.1988
50,50,1,173,5000,502,0.2016
50,50,1,174,5000,452,0.1816
50,50,1,175,5000,479,0.1924
50,50,1,176,5000,433,0.174
50,50,1,177,5000,479,0.1924
50,50,1,178,5000,377,0.1516
50,50,1,179,5000,426,0.1712
50,50,1,180,5000,448,0.18
50,50,1,181,5000,457,0.1836
50,50,1,182,5000,495,0.1988
50,50,1,183,5000,453,0.182
50,50,1,184,5000,509,0.2044
50,50,1,185,5000,440,0.1768
50,50,1,186,5000,514,0.2064
50,50,1,187,5000,501,0.2012
50,50,1,188,5000,513,0.206
50,50,1,189,5000,464,0.1864
50,50,1,190,5000,458,0.184
50,50,1,191,5000,488,0.196
50,50,1,192,5000,486,0.1952
50,50,1,193,5000,526,0.2112
50,50,1,194,5000,501,0.2012
50,50,1,195,5000,540,0.2168
50,50,1,196,5000,538,0.216
50,50,1,197,5000,491,0.1972
50,50,1,198,5000,507,0.2036
50,50,1,199,5000,458,0.184
50,50,1,200,5000,573,0.23
50,50,1,201,5000,462,0.1856
50,50,1,202,5000,507,0.2036
50,50,1,203,5000,483,0.194
50,50,1,204,5000,531,0.2132
50,50,1,205,5000,541,0.2172
50,50,1,206,5000,461,0.1852
50,50,1,207,5000,509,0.2044
50,50,1,208,5000,562,0.2256
50,50,1,209,5000,548,0.22
50,50,1,210,5000,531,0.2132
50,50,1,211,5000,486,0.1952
50,50,1,212,5000,488,0.196
50,50,1,213,5000,534,0.2144
50,50,1,214,5000,519,0.2084
50,50,1,215,5000,538,0.216
50,50,1,216,5000,448,0.18
50,50,1,217,5000,525,0.2108
50,50,1,218,5000,572,0.2296
50,50,1,219,5000,558,0.224
50,50,1,220,5000,558,0.224
50,50,1,221,5000,542,0.2176
50,50,1,222,5000,584,0.2344
50,50,1,223,5000,485,0.1948
50,50,1,224,5000,600,0.2408
50,50,1,225,5000,567,0.2276
50,50,1,226,5000,540,0.2168
50,50,1,227,5000,488,0.196
50,50,1,228,5000,549,0.2204
50,50,1,229,5000,492,0.1976
50,50,1,230,5000,464,0.1864
50,50,1,231,5000,524,0.2104
50,50,1,232,5000,541,0.2172
50,50,1,233,5000,538,0.216
50,50,1,234,5000,481,0.1932
50,50,1,235,5000,540,0.2168
50,50,1,236,5000,537,0.2156
50,50,1,237,5000,245,0.0988
50,50,1,238,5000,536,0.2152
50,50,1,239,5000,549,0.2204
50,50,1,240,5000,499,0.2004
50,50,1,241,5000,575,0.2308
50,50,1,242,5000,597,0.2396
50,50,1,243,5000,487,0.1956
50,50,1,244,5000,511,0.2052
50,50,1,245,5000,545,0.2188
50,50,1,246,5000,543,0.218
50,50,1,247,5000,453,0.182
50,50,1,248,5000,499,0.2004
50,50,1,249,5000,540,0.2168
50,50,1,250,5000,487,0.1956
50,50,1,251,5000,569,0.2284
50,50,1,252,5000,626,0.2512
50,50,1,253,5000,563,0.226
50,50,1,254,5000,502,0.2016
50,50,1,255,5000,553,0.222
50,50,1,256,5000,508,0.204
50,50,1,257,5000,596,0.2392
50,50,1,258,5000,567,0.2276
50,50,1,259,5000,562,0.2256
50,50,1,260,5000,606,0.2432
50,50,1,261,5000,562,0.2256
50,50,1,262,5000,586,0.2352
50,50,1,263,5000,551,0.2212
50,50,1,264,5000,585,0.2348
50,50,1,265,5000,471,0.1892
50,50,1,266,5000,506,0.2032
50,50,1,267,5000,567,0.2276
50,50,1,268,5000,557,0.2236
50,50,1,269,5000,615,0.2468
50,50,1,270,5000,562,0.2256
50,50,1,271,5000,465,0.1868
50,50,1,272,5000,525,0.2108
50,50,1,273,5000,558,0.224
50,50,1,274,5000,525,0.2108
50,50,1,275,5000,515,0.2068
50,50,1,276,5000,612,0.2456
50,50,1,277,5000,565,0.2268
50,50,1,278,5000,594,0.2384
50,50,1,279,5000,589,0.2364
50,50,1,280,5000,603,0.242
50,50,1,281,5000,584,0.2344
50,50,1,282,5000,564,0.2264
50,50,1,283,5000,601,0.2412
50,50,1,284,5000,613,0.246
50,50,1,285,5000,578,0.232
50,50,1,286,5000,642,0.2576
50,50,1,287,5000,520,0.2088
50,50,1,288,5000,598,0.24
50,50,1,289,5000,572,0.2296
50,50,1,290,5000,576,0.2312
50,50,1,291,5000,612,0.2456
50,50,1,292,5000,567,0.2276
50,50,1,293,5000,590,0.2368
50,50,1,294,5000,603,0.242
50,50,1,295,5000,612,0.2456
50,50,1,296,5000,518,0.208
50,50,1,297,5000,565,0.2268
50,50,1,298,5000,567,0.2276
50,50,1,299,5000,552,0.2216
50,50,1,300,5000,611,0.2452
50,50,1,301,5000,491,0.1972
50,50,1,302,5000,565,0.2268
50,50,1,303,5000,587,0.2356
50,50,1,304,5000,564,0.2264
50,50,1,305,5000,559,0.2244
50,50,1,306,5000,553,0.222
50,50,1,307,5000,595,0.2388
50,50,1,308,5000,480,0.1928
50,50,1,309,5000,539,0.2164
50,50,1,310,5000,653,0.262
50,50,1,311,5000,515,0.2068
50,50,1,312,5000,618,0.248
50,50,1,313,5000,592,0.2376
50,50,1,314,5000,578,0.232
50,50,1,315,5000,664,0.2664
50,50,1,316,5000,608,0.244
50,50,1,317,5000,543,0.218
50,50,1,318,5000,637,0.2556
50,50,1,319,5000,582,0.2336
50,50,1,320,5000,581,0.2332
50,50,1,321,5000,531,0.2132
50,50,1,322,5000,564,0.2264
50,50,1,323,5000,584,0.2344
