grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
25,25,2,1,2500,130,0.2112
25,25,2,2,2500,179,0.2896
25,25,2,3,2500,167,0.2704
25,25,2,4,2500,126,0.2048
25,25,2,5,2500,154,0.2496
25,25,2,6,2500,149,0.2416
25,25,2,7,2500,168,0.272
25,25,2,8,2500,152,0.2464
25,25,2,9,2500,164,0.2656
25,25,2,10,2500,215,0.3472
25,25,2,11,2500,143,0.232
25,25,2,12,2500,139,0.2256
25,25,2,13,2500,175,0.2832
25,25,2,14,2500,193,0.312
25,25,2,15,2500,166,0.2688
25,25,2,16,2500,160,0.2592
25,25,2,17,2500,151,0.2448
25,25,2,18,2500,177,0.2864
25,25,2,19,2500,130,0.2112
25,25,2,20,2500,156,0.2528
25,25,2,21,2500,173,0.28
25,25,2,22,2500,172,0.2784
25,25,2,23,2500,162,0.2624
25,25,2,24,2500,144,0.2336
25,25,2,25,2500,147,0.2384
25,25,2,26,2500,146,0.2368
25,25,2,27,2500,144,0.2336
25,25,2,28,2500,169,0.2736
25,25,2,29,2500,185,0.2992
25,25,2,30,2500,144,0.2336
25,25,2,31,2500,153,0.248
25,25,2,32,2500,147,0.2384
25,25,2,33,2500,161,0.2608
25,25,2,34,2500,198,0.32
25,25,2,35,2500,164,0.2656
25,25,2,36,2500,175,0.2832
25,25,2,37,2500,171,0.2768
25,25,2,38,2500,186,0.3008
25,25,2,39,2500,178,0.288
25,25,2,40,2500,182,0.2944
25,25,2,41,2500,167,0.2704
25,25,2,42,2500,158,0.256
25,25,2,43,2500,185,0.2992
25,25,2,44,2500,197,0.3184
25,25,2,45,2500,155,0.2512
25,25,2,46,2500,170,0.2752
25,25,2,47,2500,192,0.3104
25,25,2,48,2500,169,0.2736
25,25,2,49,2500,202,0.3264
25,25,2,50,2500,207,0.3344
25,25,2,51,2500,174,0.2816
25,25,2,52,2500,203,0.328
25,25,2,53,2500,194,0.3136
25,25,2,54,2500,209,0.3376
25,25,2,55,2500,194,0.3136
25,25,2,56,2500,207,0.3344
25,25,2,57,2500,225,0.3632
25,25,2,58,2500,183,0.296
25,25,2,59,2500,182,0.2944
25,25,2,60,2500,188,0.304
25,25,2,61,2500,199,0.3216
25,25,2,62,2500,208,0.336
